url,family,sources,intended_indexable,status,final_path,final_status,redirect_hops,in_sitemap,robots,canonical,canonical_is_self,title,title_length,description,description_length,h1_count,h1,h2_count,main_words,prerendered,images,images_missing_alt,images_missing_dimensions,schema_types,schema_errors,inbound_links,outbound_links
/AllCities,redirect,redirect-source,false,301,/all-cities,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-cities,false,Electricity Rates by City | Electric Scouts,43,"Local electricity rates, utilities and coverage for every city we publish, from Houston and Dallas to Chicago, Philadelphia and New York.",137,1,Electricity Rates by City,13,675,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/allproviders,redirect,redirect-source,false,301,/all-providers,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-providers,false,Electricity Supplier Directory | Electric Scouts,48,"Browse every electricity supplier we track across 12 deregulated states, with the plans they offer, the states they cover and their contract terms.",147,1,Electricity Providers Directory,10,1628,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/AllProviders,redirect,redirect-source,false,301,/all-providers,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-providers,false,Electricity Supplier Directory | Electric Scouts,48,"Browse every electricity supplier we track across 12 deregulated states, with the plans they offer, the states they cover and their contract terms.",147,1,Electricity Providers Directory,10,1628,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/allstates,redirect,redirect-source,false,301,/all-states,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-states,false,Deregulated Electricity States | Electric Scouts,48,"Compare electricity markets in the 12 US states where households choose their own supplier — plans tracked, suppliers and rate ranges for each market.",150,1,Electricity Rates by State,7,1372,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/AllStates,redirect,redirect-source,false,301,/all-states,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-states,false,Deregulated Electricity States | Electric Scouts,48,"Compare electricity markets in the 12 US states where households choose their own supplier — plans tracked, suppliers and rate ranges for each market.",150,1,Electricity Rates by State,7,1372,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/app-shell.html,static,served-file,false,200,/app-shell.html,200,0,false,"noindex, follow",,,Electric Scouts,15,,0,0,,0,0,false,0,0,0,,,0,0
/article-detail,noindex,registry:noindex redirect-target canonical-target served-file,false,200,/article-detail,200,0,false,"noindex, follow",https://www.electricscouts.com/article-detail,true,Learning Center | Electric Scouts,33,,0,1,Learning Center | Electric Scouts,0,5,true,0,0,0,Organization WebSite BreadcrumbList,,0,32
/articledetail,redirect,redirect-source,false,301,/article-detail,200,1,false,"noindex, follow",https://www.electricscouts.com/article-detail,false,Learning Center | Electric Scouts,33,,0,1,Learning Center | Electric Scouts,0,5,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/ArticleDetail,redirect,redirect-source,false,301,/article-detail,200,1,false,"noindex, follow",https://www.electricscouts.com/article-detail,false,Learning Center | Electric Scouts,33,,0,1,Learning Center | Electric Scouts,0,5,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/bill-analyzer,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/bill-analyzer,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/bill-analyzer,true,Electricity Bill Analyzer | Electric Scouts,43,"Upload an electricity bill and see the rate you really pay once base charges, delivery and credits are counted, then compare it against plans sold at your ZIP.",159,1,Electricity Bill Analyzer,11,1711,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,38
/billanalyzer,redirect,redirect-source,false,301,/bill-analyzer,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/bill-analyzer,false,Electricity Bill Analyzer | Electric Scouts,43,"Upload an electricity bill and see the rate you really pay once base charges, delivery and credits are counted, then compare it against plans sold at your ZIP.",159,1,Electricity Bill Analyzer,11,1711,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/BillAnalyzer,redirect,redirect-source,false,301,/bill-analyzer,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/bill-analyzer,false,Electricity Bill Analyzer | Electric Scouts,43,"Upload an electricity bill and see the rate you really pay once base charges, delivery and credits are counted, then compare it against plans sold at your ZIP.",159,1,Electricity Bill Analyzer,11,1711,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/business-compare-rates,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/business-compare-rates,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-compare-rates,true,Business Electricity Quotes | Electric Scouts,45,"Get commercial electricity quotes for your business. Commercial supply is priced against your load profile, so this is a quote request rather than a checkout.",158,1,Compare Business Electricity Rates,9,822,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,14,46
/business-electricity,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/business-electricity,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-electricity,true,Business Electricity Rates and Pricing | Electric Scouts,56,"How commercial electricity is priced — demand charges, load profiles and contract terms — plus the business plans we track in each deregulated state.",149,1,Business Electricity Rates and Plans,10,1368,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,52
/business-hub,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/business-hub,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-hub,true,Business Electricity by Company Size | Electric Scouts,54,"What a business needs from an electricity contract depends on its size and load shape. Compare the options for small, medium and industrial accounts.",149,1,Business Electricity Hub,9,1344,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,46
/business-quote-dashboard,noindex,registry:noindex redirect-target canonical-target served-file,false,200,/business-quote-dashboard,200,0,false,"noindex, follow",https://www.electricscouts.com/business-quote-dashboard,true,Business Quote Dashboard | Electric Scouts,42,,0,1,Business Quote Dashboard | Electric Scouts,0,6,true,0,0,0,Organization WebSite BreadcrumbList,,0,32
/businesscomparerates,redirect,redirect-source,false,301,/business-compare-rates,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-compare-rates,false,Business Electricity Quotes | Electric Scouts,45,"Get commercial electricity quotes for your business. Commercial supply is priced against your load profile, so this is a quote request rather than a checkout.",158,1,Compare Business Electricity Rates,9,822,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/BusinessCompareRates,redirect,redirect-source,false,301,/business-compare-rates,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-compare-rates,false,Business Electricity Quotes | Electric Scouts,45,"Get commercial electricity quotes for your business. Commercial supply is priced against your load profile, so this is a quote request rather than a checkout.",158,1,Compare Business Electricity Rates,9,822,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/businesselectricity,redirect,redirect-source,false,301,/business-electricity,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-electricity,false,Business Electricity Rates and Pricing | Electric Scouts,56,"How commercial electricity is priced — demand charges, load profiles and contract terms — plus the business plans we track in each deregulated state.",149,1,Business Electricity Rates and Plans,10,1368,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/BusinessElectricity,redirect,redirect-source,false,301,/business-electricity,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-electricity,false,Business Electricity Rates and Pricing | Electric Scouts,56,"How commercial electricity is priced — demand charges, load profiles and contract terms — plus the business plans we track in each deregulated state.",149,1,Business Electricity Rates and Plans,10,1368,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/businesshub,redirect,redirect-source,false,301,/business-hub,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-hub,false,Business Electricity by Company Size | Electric Scouts,54,"What a business needs from an electricity contract depends on its size and load shape. Compare the options for small, medium and industrial accounts.",149,1,Business Electricity Hub,9,1344,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/BusinessHub,redirect,redirect-source,false,301,/business-hub,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/business-hub,false,Business Electricity by Company Size | Electric Scouts,54,"What a business needs from an electricity contract depends on its size and load shape. Compare the options for small, medium and industrial accounts.",149,1,Business Electricity Hub,9,1344,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/businessquotedashboard,redirect,redirect-source,false,301,/business-quote-dashboard,200,1,false,"noindex, follow",https://www.electricscouts.com/business-quote-dashboard,false,Business Quote Dashboard | Electric Scouts,42,,0,1,Business Quote Dashboard | Electric Scouts,0,6,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/BusinessQuoteDashboard,redirect,redirect-source,false,301,/business-quote-dashboard,200,1,false,"noindex, follow",https://www.electricscouts.com/business-quote-dashboard,false,Business Quote Dashboard | Electric Scouts,42,,0,1,Business Quote Dashboard | Electric Scouts,0,6,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/city-rates,noindex,registry:noindex redirect-target canonical-target served-file,false,200,/city-rates,200,0,false,"noindex, follow",https://www.electricscouts.com/city-rates,true,Electricity Rates by City | Electric Scouts,43,,0,1,Electricity Rates by City | Electric Scouts,0,7,true,0,0,0,Organization WebSite BreadcrumbList,,0,32
/cityrates,redirect,redirect-source,false,301,/city-rates,200,1,false,"noindex, follow",https://www.electricscouts.com/city-rates,false,Electricity Rates by City | Electric Scouts,43,,0,1,Electricity Rates by City | Electric Scouts,0,7,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/CityRates,redirect,redirect-source,false,301,/city-rates,200,1,false,"noindex, follow",https://www.electricscouts.com/city-rates,false,Electricity Rates by City | Electric Scouts,43,,0,1,Electricity Rates by City | Electric Scouts,0,7,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
/compare,compare-hub,registry:compare-hub sitemap internal-link canonical-target served-file,true,200,/compare,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare,true,Compare Electricity Suppliers Head to Head | Electric Scouts,60,"Side-by-side electricity comparisons from our plan catalog: supplier against supplier where both are sold, and plan type against plan type in all 12 states.",156,1,"Electricity Comparisons, Head to Head",7,977,true,0,0,0,Organization WebSite BreadcrumbList ItemList FAQPage,,345,63
/compare-rates,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/compare-rates,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare-rates,true,Compare Electricity Rates Side by Side | Electric Scouts,56,"Enter your ZIP code and see the electricity plans sold in your area side by side — rate, contract term and early termination fee on the same row.",145,1,Compare Electricity Rates Side by Side,10,1475,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,49
/compare/12-month-vs-24-month-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/12-month-vs-24-month-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/12-month-vs-24-month-electricity-plans,true,12-Month vs 24-Month Electricity Plans Compared,47,12-month contracts against 24-month contracts in 12 deregulated states: what each costs and what each commits you to.,117,1,12-Month vs 24-Month Electricity Contracts,4,352,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,54
/compare/chariot-energy-vs-rhythm-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/chariot-energy-vs-rhythm-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/chariot-energy-vs-rhythm-energy,true,Chariot Energy vs Rhythm Energy Compared | Electric Scouts,58,"Chariot Energy vs Rhythm Energy in Texas: both start at the same entry rate. Plan counts, contract terms, renewable mix and early termination fees compared.",156,1,Chariot Energy vs Rhythm Energy,5,494,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,40
/compare/cleanchoice-energy-vs-constellation-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/cleanchoice-energy-vs-constellation-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/cleanchoice-energy-vs-constellation-energy,true,CleanChoice Energy vs Constellation Energy | Electric Scouts,60,"CleanChoice Energy vs Constellation Energy across 9 shared states: Constellation has the lower entry rate in 8. Plan counts, terms and renewable mix compared.",158,1,CleanChoice Energy vs Constellation Energy,6,766,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,18,55
/compare/cleanchoice-energy-vs-inspire-clean-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/cleanchoice-energy-vs-inspire-clean-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/cleanchoice-energy-vs-inspire-clean-energy,true,CleanChoice Energy vs Inspire Clean Energy | Electric Scouts,60,"CleanChoice Energy vs Inspire Clean Energy across 8 shared states: CleanChoice has the lower entry rate in 6. Plan counts, terms and renewable mix compared.",156,1,CleanChoice Energy vs Inspire Clean Energy,6,678,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,14,49
/compare/clearview-energy-vs-town-square-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/clearview-energy-vs-town-square-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/clearview-energy-vs-town-square-energy,true,Clearview Energy vs Town Square Energy | Electric Scouts,56,"Clearview Energy vs Town Square Energy across 7 shared states: Town Square has the lower entry rate in 6. Plan counts, terms and renewable mix compared.",152,1,Clearview Energy vs Town Square Energy,6,714,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,12,50
/compare/clearview-energy-vs-verde-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/clearview-energy-vs-verde-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/clearview-energy-vs-verde-energy,true,Clearview Energy vs Verde Energy Compared | Electric Scouts,59,"Clearview Energy vs Verde Energy across 10 shared states: Verde has the lower entry rate in 7. Plan counts, terms and renewable mix compared.",141,1,Clearview Energy vs Verde Energy,6,627,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,16,51
/compare/constellation-energy-vs-direct-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/constellation-energy-vs-direct-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/constellation-energy-vs-direct-energy,true,Constellation Energy vs Direct Energy | Electric Scouts,55,"Constellation Energy vs Direct Energy across 11 shared states: Direct has the lower entry rate in 7. Plan counts, terms and renewable mix compared.",147,1,Constellation Energy vs Direct Energy,6,750,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,21,56
/compare/constellation-energy-vs-green-mountain-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/constellation-energy-vs-green-mountain-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/constellation-energy-vs-green-mountain-energy,true,Constellation Energy vs Green Mountain Energy Compared,54,Constellation Energy vs Green Mountain Energy across 7 shared states: Constellation has the lower entry rate in 6. Rates and terms compared.,140,1,Constellation Energy vs Green Mountain Energy,6,737,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,15,54
/compare/constellation-energy-vs-verde-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/constellation-energy-vs-verde-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/constellation-energy-vs-verde-energy,true,Constellation Energy vs Verde Energy | Electric Scouts,54,"Constellation Energy vs Verde Energy across 11 shared states: Constellation has the lower entry rate in 9. Plan counts, terms and renewable mix compared.",153,1,Constellation Energy vs Verde Energy,6,759,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,20,55
/compare/constellation-energy-vs-xoom-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/constellation-energy-vs-xoom-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/constellation-energy-vs-xoom-energy,true,Constellation Energy vs XOOM Energy | Electric Scouts,53,"Constellation Energy vs XOOM Energy across 11 shared states: Constellation has the lower entry rate in 10. Plan counts, terms and renewable mix compared.",153,1,Constellation Energy vs XOOM Energy,6,738,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,21,56
/compare/direct-energy-vs-just-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/direct-energy-vs-just-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/direct-energy-vs-just-energy,true,Direct Energy vs Just Energy Compared | Electric Scouts,55,"Direct Energy vs Just Energy across 8 shared states: Direct has the lower entry rate in 6. Plan counts, contract terms, renewable mix and exit fees compared.",157,1,Direct Energy vs Just Energy,6,705,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,14,51
/compare/direct-energy-vs-xoom-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/direct-energy-vs-xoom-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/direct-energy-vs-xoom-energy,true,Direct Energy vs XOOM Energy Compared | Electric Scouts,55,"Direct Energy vs XOOM Energy across 10 shared states: Direct has the lower entry rate in 10. Plan counts, terms and renewable mix compared.",139,1,Direct Energy vs XOOM Energy,6,782,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,19,55
/compare/fixed-vs-variable-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/fixed-vs-variable-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/fixed-vs-variable-electricity-plans,true,Fixed vs Variable Electricity: Which Is Cheaper?,48,"273 fixed plans against 97 variable across 12 deregulated states. What each costs, what each commits you to, and which to pick.",127,1,Fixed vs Variable Electricity Plans,5,464,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,7,56
/compare/indra-energy-vs-spark-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/indra-energy-vs-spark-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/indra-energy-vs-spark-energy,true,Indra Energy vs Spark Energy Compared | Electric Scouts,55,"Indra Energy vs Spark Energy across 6 shared states: Indra has the lower entry rate in 5. Plan counts, contract terms, renewable mix and exit fees compared.",156,1,Indra Energy vs Spark Energy,6,592,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,10,46
/compare/inspire-clean-energy-vs-perch-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/inspire-clean-energy-vs-perch-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/inspire-clean-energy-vs-perch-energy,true,Inspire Clean Energy vs Perch Energy | Electric Scouts,54,"Inspire Clean Energy vs Perch Energy across 5 shared states: Perch has the lower entry rate in 3. Plan counts, terms and renewable mix compared.",144,1,Inspire Clean Energy vs Perch Energy,6,650,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,10,50
/compare/month-to-month-vs-fixed-term-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/month-to-month-vs-fixed-term-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/month-to-month-vs-fixed-term-electricity-plans,true,Month-to-Month vs Fixed-Term Electricity Plans,46,Month-to-month supply against Fixed-term contracts in 12 deregulated states: what each costs and what each commits you to.,122,1,Month-to-Month vs Fixed-Term Electricity Plans,4,422,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,54
/compare/no-early-termination-fee-vs-contract-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/no-early-termination-fee-vs-contract-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/no-early-termination-fee-vs-contract-electricity-plans,true,No Cancellation Fee vs Contract Electricity Plans,49,"105 no exit fee plans against 267 exit fee across 12 deregulated states. What each costs, what each commits you to, and which to pick.",134,1,No-Exit-Fee vs Contract Electricity Plans,5,457,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,56
/compare/octopus-energy-vs-rhythm-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/octopus-energy-vs-rhythm-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/octopus-energy-vs-rhythm-energy,true,Octopus Energy vs Rhythm Energy Compared | Electric Scouts,58,"Octopus Energy vs Rhythm Energy in Texas: Rhythm has the lower entry rate. Plan counts, contract terms, renewable mix and early termination fees compared.",154,1,Octopus Energy vs Rhythm Energy,5,546,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,40
/compare/perch-energy-vs-cleanchoice-energy,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/perch-energy-vs-cleanchoice-energy,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/perch-energy-vs-cleanchoice-energy,true,Perch Energy vs CleanChoice Energy | Electric Scouts,52,"Perch Energy vs CleanChoice Energy across 6 shared states: they split the 6 markets evenly. Plan counts, contract terms, renewable mix and exit fees compared.",158,1,Perch Energy vs CleanChoice Energy,6,680,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,12,51
/compare/renewable-vs-standard-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/renewable-vs-standard-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/renewable-vs-standard-electricity-plans,true,Renewable vs Standard Electricity Plans Compared,48,100% renewable plans against All plans in the market in 12 deregulated states: what each costs and what each commits you to.,124,1,Renewable vs Standard Electricity Plans,4,358,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,54
/compare/residential-vs-business-electricity-plans,comparison,registry:comparison sitemap internal-link canonical-target served-file,true,200,/compare/residential-vs-business-electricity-plans,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/compare/residential-vs-business-electricity-plans,true,Residential vs Business Electricity Rates | Electric Scouts,59,"324 residential plans against 48 business across 12 deregulated states. What each costs, what each commits you to, and which to pick.",133,1,Residential vs Business Electricity Plans,5,437,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,6,56
